frame_idx,timestamp,status,object_class,distance,roi_coverage
140,1744996802.3879938,WARNING,person,7.85,0.089
140,1744996802.3879938,WARNING,motorcycle,6.16,0.000
140,1744996802.3879938,WARNING,motorcycle,8.70,0.000
140,1744996802.3879938,WARNING,motorcycle,4.60,0.000
141,1744996811.369661,WARNING,person,7.05,0.000
141,1744996811.369661,WARNING,person,8.89,0.092
141,1744996811.369661,WARNING,motorcycle,7.27,0.017
141,1744996811.369661,WARNING,motorcycle,8.29,0.000
141,1744996811.369661,WARNING,motorcycle,4.09,0.000
142,1744996820.6179383,WARNING,person,9.91,0.066
142,1744996820.6179383,WARNING,person,7.44,0.000
142,1744996820.6179383,WARNING,motorcycle,8.47,0.027
142,1744996820.6179383,WARNING,motorcycle,8.31,0.000
142,1744996820.6179383,WARNING,motorcycle,4.55,0.000
143,1744996830.0803912,WARNING,person,6.91,0.000
143,1744996830.0803912,WARNING,motorcycle,9.72,0.027
143,1744996830.0803912,WARNING,motorcycle,8.49,0.000
143,1744996830.0803912,WARNING,motorcycle,8.48,0.000
144,1744996838.2484543,WARNING,person,6.62,0.000
144,1744996838.2484543,WARNING,motorcycle,8.22,0.000
144,1744996838.2484543,WARNING,motorcycle,8.20,0.000
145,1744996844.7670474,WARNING,person,6.76,0.000
145,1744996844.7670474,WARNING,motorcycle,7.79,0.000
146,1744996851.2408314,WARNING,person,6.43,0.000
146,1744996851.2408314,WARNING,motorcycle,7.39,0.000
146,1744996851.2408314,WARNING,motorcycle,7.54,0.000
147,1744996859.025671,WARNING,person,6.05,0.000
148,1744996866.679976,WARNING,person,6.09,0.000
148,1744996866.679976,WARNING,motorcycle,6.85,0.000
149,1744996874.484312,WARNING,person,6.18,0.000
150,1744996882.1729505,WARNING,person,6.10,0.000
151,1744996889.977355,WARNING,person,6.39,0.000
151,1744996889.977355,WARNING,motorcycle,9.76,0.000
152,1744996897.8265576,WARNING,person,6.18,0.000
153,1744996905.5340843,WARNING,person,5.88,0.000
153,1744996905.5340843,WARNING,motorcycle,9.48,0.000
154,1744996913.3360307,WARNING,person,5.75,0.000
154,1744996913.3360307,WARNING,motorcycle,9.32,0.000
155,1744996921.29747,WARNING,person,5.67,0.000
155,1744996921.29747,WARNING,motorcycle,8.46,0.000
156,1744996929.0720844,WARNING,person,5.78,0.000
156,1744996929.0720844,WARNING,motorcycle,8.61,0.000
157,1744996936.9592495,WARNING,person,6.21,0.000
157,1744996936.9592495,WARNING,motorcycle,8.60,0.000
158,1744996944.8051376,WARNING,person,5.85,0.000
158,1744996944.8051376,WARNING,motorcycle,9.42,0.000
158,1744996944.8051376,WARNING,motorcycle,8.02,0.000
159,1744996950.467978,WARNING,person,5.84,0.000
159,1744996950.467978,WARNING,motorcycle,9.42,0.000
159,1744996950.467978,WARNING,motorcycle,7.65,0.000
160,1744996955.4468203,WARNING,person,6.25,0.000
161,1744996961.5150745,WARNING,motorcycle,9.19,0.000
161,1744996961.5150745,WARNING,person,5.51,0.000
161,1744996961.5150745,WARNING,motorcycle,9.89,0.000
162,1744996969.0457006,WARNING,motorcycle,8.76,0.000
162,1744996969.0457006,WARNING,person,5.56,0.000
162,1744996969.0457006,WARNING,motorcycle,9.02,0.000
163,1744996976.8880994,WARNING,motorcycle,8.50,0.000
163,1744996976.8880994,WARNING,person,5.83,0.000
163,1744996976.8880994,WARNING,bicycle,9.67,0.049
163,1744996976.8880994,WARNING,person,6.01,0.000
164,1744996984.7288284,WARNING,bicycle,9.06,0.022
164,1744996984.7288284,WARNING,person,5.52,0.000
164,1744996984.7288284,WARNING,motorcycle,9.23,0.000
164,1744996984.7288284,WARNING,motorcycle,8.12,0.000
164,1744996984.7288284,WARNING,person,5.90,0.000
165,1744996992.725716,WARNING,bicycle,7.92,0.003
165,1744996992.725716,WARNING,motorcycle,7.49,0.000
165,1744996992.725716,WARNING,person,7.73,0.000
165,1744996992.725716,WARNING,motorcycle,7.31,0.000
166,1744997000.6657946,WARNING,bicycle,6.99,0.003
166,1744997000.6657946,WARNING,motorcycle,7.55,0.000
166,1744997000.6657946,WARNING,person,7.71,0.000
166,1744997000.6657946,WARNING,person,6.56,0.000
167,1744997008.5622516,WARNING,bicycle,6.59,0.000
167,1744997008.5622516,WARNING,motorcycle,7.44,0.000
167,1744997008.5622516,WARNING,person,7.14,0.000
168,1744997016.4875793,STOP,bicycle,6.04,0.000
168,1744997016.4875793,STOP,person,6.51,0.000
168,1744997016.4875793,STOP,person,6.04,0.000
168,1744997016.4875793,STOP,motorcycle,7.46,0.000
169,1744997024.35885,WARNING,bicycle,5.67,0.000
169,1744997024.35885,WARNING,motorcycle,9.89,0.000
169,1744997024.35885,WARNING,person,6.08,0.000
169,1744997024.35885,WARNING,motorcycle,7.35,0.000
169,1744997024.35885,WARNING,person,4.79,0.000
170,1744997032.100158,WARNING,motorcycle,9.38,0.002
170,1744997032.100158,WARNING,motorcycle,7.07,0.000
170,1744997032.100158,WARNING,person,5.36,0.000
170,1744997032.100158,WARNING,bicycle,5.37,0.000
170,1744997032.100158,WARNING,person,5.20,0.000
171,1744997039.7714472,WARNING,motorcycle,9.68,0.033
171,1744997039.7714472,WARNING,motorcycle,8.74,0.000
171,1744997039.7714472,WARNING,motorcycle,6.79,0.000
171,1744997039.7714472,WARNING,person,5.74,0.000
171,1744997039.7714472,WARNING,motorcycle,9.50,0.000
172,1744997047.5942364,WARNING,motorcycle,7.54,0.000
172,1744997047.5942364,WARNING,motorcycle,8.02,0.026
172,1744997047.5942364,WARNING,person,6.98,0.000
173,1744997055.2974417,WARNING,motorcycle,8.67,0.029
173,1744997055.2974417,WARNING,motorcycle,8.06,0.000
174,1744997063.0387151,WARNING,motorcycle,8.29,0.025
174,1744997063.0387151,WARNING,motorcycle,7.50,0.000
174,1744997063.0387151,WARNING,motorcycle,8.46,0.000
175,1744997070.6698968,WARNING,motorcycle,7.36,0.023
175,1744997070.6698968,WARNING,motorcycle,6.64,0.000
175,1744997070.6698968,WARNING,motorcycle,9.98,0.052
176,1744997078.4254506,WARNING,motorcycle,7.05,0.007
176,1744997078.4254506,WARNING,motorcycle,6.56,0.000
177,1744997086.082945,WARNING,motorcycle,6.40,0.000
177,1744997086.082945,WARNING,motorcycle,9.72,0.039
177,1744997086.082945,WARNING,motorcycle,6.52,0.000
178,1744997093.5950398,WARNING,motorcycle,5.73,0.000
178,1744997093.5950398,WARNING,motorcycle,8.46,0.071
178,1744997093.5950398,WARNING,motorcycle,9.98,0.021
178,1744997093.5950398,WARNING,motorcycle,7.64,0.000
179,1744997101.476811,WARNING,motorcycle,9.09,0.011
179,1744997101.476811,WARNING,motorcycle,7.27,0.067
179,1744997101.476811,WARNING,motorcycle,7.68,0.000
179,1744997101.476811,WARNING,motorcycle,5.14,0.000
180,1744997109.3596938,WARNING,motorcycle,7.36,0.047
180,1744997109.3596938,WARNING,motorcycle,7.23,0.000
180,1744997109.3596938,WARNING,motorcycle,9.29,0.012
180,1744997109.3596938,WARNING,motorcycle,4.79,0.000
181,1744997117.2181327,WARNING,motorcycle,6.92,0.039
181,1744997117.2181327,WARNING,motorcycle,9.89,0.011
181,1744997117.2181327,WARNING,motorcycle,4.44,0.000
182,1744997125.6670766,WARNING,motorcycle,6.44,0.020
